name,location,id,lat,long,population_density,altitude,road_distance,residential_road_distance,terrain_90,division
aq_79,Ntinda,930434,0.360209,32.610756,4637.08,1216.25,17.46,17.46,21,Nakawa
aq_29,Bugolobi,718028,0.3075,32.6206,5576.65,1143.54,303.33,303.33,31,Nakawa
aq_69,Nantabulirwa,912224,0.34646,32.70328,530.79,1182.83,26.76,26.76,21,
aq_71,Kireka,930426,0.3655,32.6468,1299.25,1188.21,33.39,33.39,31,
aq_72,Luwafu,930427,0.2689,32.588,5924.3,1171.5,27.7,27.7,31,Makindye
aq_68,Banda,912223,0.341674,32.635306,3637.56,1165.03,39.29,39.29,41,
aq_67,Mbuya II,912222,0.325346,32.632288,4637.08,1256.66,2.84,2.84,11,Nakawa
aq_65,Nakasero II,912220,0.322108,32.576,3964.04,1208.34,54.53,54.53,21,
aq_61,Kiwatule,870145,0.373078,32.628226,4637.08,1163.48,35.67,35.67,41,Nakawa
aq_59,Kyaliwajjala,870143,0.381576,32.647109,1299.25,1187.92,37.51,37.51,21,
aq_60,Butabika,870144,0.30778,32.651449,4637.08,1169.91,52.53,52.53,31,Nakawa
aq_63,Nansana West,870147,0.363,32.529,4328.01,1217.76,42.25,42.25,21,
aq_58,Nansana East,870142,0.3759,32.528,2831.52,1191.57,22.98,22.98,21,
aq_56,Busega,870139,0.3101,32.516,3600.8,1159.29,21.43,21.43,31,
aq_55,Kyanja,832255,0.3875,32.601,4200.23,1204.76,10.96,10.96,21,
aq_52,Busabala,832252,0.2182,32.6176,1675.29,1156.05,23.74,23.74,21,
aq_53,Bunamwaya,832253,0.269993,32.558017,3498.41,1156.83,108.86,108.86,41,
aq_54,Kyebando,832254,0.3564,32.573,8263.24,1171.38,16.95,16.95,41,
aq_51,Lukuli,832251,0.299,32.592,6629.36,1207.83,26.67,26.67,21,
aq_47,Bukoto I,782720,0.3517,32.591,7329.34,1180.6,63.53,63.53,31,
aq_46,Kansanga,782719,0.29875,32.615,6629.36,1196.02,21.79,21.79,21,
aq_45,Kasubi,782718,0.344,32.553,7644.46,1195.58,17.77,17.77,21,
aq_44,Naguru II,755614,0.3412,32.602,4593.9,1198.66,21.02,21.02,31,
aq_43,Makindye I,755612,0.289,32.589,6629.36,1179.27,5.89,5.89,31,
aq_62,Makerere University,870146,0.3323,32.5698,6277.19,1237.65,364.79,364.79,21,
aq_39,Lubaga,737276,0.295314,32.553682,7720.99,1193.51,68.82,68.82,21,
aq_36,Bweyogerere,737273,0.354825,32.67781,1299.25,1149.27,2.85,2.85,31,
aq_26,Civic Centre,689761,0.314,32.59,4366.74,1160.99,12.31,12.31,21,
aq_30,Kiwafu,718029,0.059604,32.46032,730.8,1153.22,1.07,1.07,31,
aq_31,Kireka,718030,0.347014,32.64936,1299.25,1175.78,13.28,13.28,31,
aq_32,Seguku,730014,0.235668,32.55764,1675.29,1202.73,6.3,6.3,31,
aq_48,Seguku(2),782721,0.2336,32.5635,1675.29,1240.32,143.9,143.9,21,
aq_49,Lukuli(2),782722,0.2836,32.6,6629.36,1167.66,30.46,30.46,31,
aq_64,Najjera,912219,0.391478,32.62583,1299.25,1168.72,25.57,25.57,21,
aq_66,Nakasero II(2),912221,0.32232,32.5757,3964.04,1204.69,83.8,83.8,21,
aq_70,Kyengera,912225,0.286595,32.506107,712.23,1198.86,16.76,16.76,21,
aq_74,Kisugu,930429,0.307489,32.611755,6560.79,1151.39,7.49,7.49,31,
